goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapAppend/10         	36465798	       328.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36385686	       328.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36319310	       328.9 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36575672	       328.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36515150	       329.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36575605	       328.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36599380	       328.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36245197	       331.4 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36168949	       329.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36606462	       329.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36639248	       328.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36474878	       329.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36319741	       331.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36248679	       331.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/10         	36129559	       331.9 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapAppend/100        	 3261590	      3678 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3261795	      3675 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3275858	      3666 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3273037	      3681 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3274134	      4942 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 2849006	      3676 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3255591	      3681 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3246186	      3664 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3275127	      3661 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3274602	      3658 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3275406	      3672 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3281539	      3654 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3282800	      3665 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3272906	      3667 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/100        	 3273891	      3678 ns/op	    4456 B/op	       9 allocs/op
BenchmarkMapAppend/1000       	  248779	     48258 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248845	     48291 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248877	     48217 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248643	     48288 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248787	     48400 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248307	     48194 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248842	     48297 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248979	     48215 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  249188	     48236 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248488	     48388 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  249208	     48241 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  247708	     48423 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  248859	     48248 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  249122	     48314 ns/op	   74264 B/op	      20 allocs/op
BenchmarkMapAppend/1000       	  249039	     48202 ns/op	   74264 B/op	      20 allocs/op
